Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
4 RUE DE BELFORT,69384,Lyon 4e Arrondissement,69384000BE0004,45.776233,4.834947,0.7423336363636364,,4 Rue de Belfort 69004 Lyon,housenumber,69384_0775_00004,4,4 Rue de Belfort,Rue de Belfort,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE DE NUITS,69384,Lyon 4e Arrondissement,69384000AW0005,45.777979,4.833874,0.7178506611570247,,4 Rue de Nuits 69004 Lyon,housenumber,69384_5095_00004,4,4 Rue de Nuits,Rue de Nuits,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE DU MAIL,69384,Lyon 4e Arrondissement,69384000AW0084,45.77639,4.833125,0.7091951948051948,,4 Rue du Mail 69004 Lyon,housenumber,69384_4435_00004,4,4 Rue du Mail,Rue du Mail,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE DU PAVILLON,69384,Lyon 4e Arrondissement,69384000AW0143,45.776146,4.833809,0.7452118181818181,,4 Rue du Pavillon 69004 Lyon,housenumber,69384_5305_00004,4,4 Rue du Pavillon,Rue du Pavillon,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE DUVIARD,69384,Lyon 4e Arrondissement,69384000AN0101,45.774693,4.827972,0.7058333766233766,,4 Rue Duviard 69004 Lyon,housenumber,69384_2435_00004,4,4 Rue Duviard,Rue Duviard,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
40 B QUAI JOSEPH GILLET,69384,Lyon 4e Arrondissement,69384000AD0133,45.776891,4.810572,0.6480584457478005,,40bis Quai Joseph Gillet 69004 Lyon,housenumber,69384_3901_00040_bis,40bis,40bis Quai Joseph Gillet,Quai Joseph Gillet,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE JACQUARD,69384,Lyon 4e Arrondissement,69384000AT0117,45.775581,4.829384,0.7228452066115703,,4 Rue Jacquard 69004 Lyon,housenumber,69384_3630_00004,4,4 Rue Jacquard,Rue Jacquard,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE LEBRUN,69384,Lyon 4e Arrondissement,69384000BE0075,45.77505,4.836741,0.6894736363636363,,4 Rue Lebrun 69004 Lyon,housenumber,69384_4195_00004,4,4 Rue Lebrun,Rue Lebrun,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE PELLETIER,69384,Lyon 4e Arrondissement,69384000AS0018,45.777683,4.829332,0.7268903952569169,,4 Rue Pelletier 69004 Lyon,housenumber,69384_5330_00004,4,4 Rue Pelletier,Rue Pelletier,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE PHILIPPE DE LASSALLE,69384,Lyon 4e Arrondissement,69384000AH0092,45.77444,4.821285,0.8099931016042781,,4 Rue Philippe de Lassalle 69004 Lyon,housenumber,69384_5420_00004,4,4 Rue Philippe de Lassalle,Rue Philippe de Lassalle,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
